 Energy [eV],Number of Rays weighted by $\Vert\mathbf{E_{\sigma}}+\mathbf{E_{\pi}}\Vert^2$
6.306569083601789316e+05,3.558813176309081339e+00
6.312769078331858618e+05,3.558813176309081339e+00
6.312769078331858618e+05,7.683037547137106849e+00
6.318969073061927920e+05,7.683037547137106849e+00
6.318969073061927920e+05,1.243580059006238692e+01
6.325169067791997222e+05,1.243580059006238692e+01
6.325169067791998386e+05,2.496132972412149442e+01
6.331369062522067688e+05,2.496132972412149442e+01
6.331369062522067688e+05,3.799418391034240727e+01
6.337569057252136990e+05,3.799418391034240727e+01
6.337569057252136990e+05,5.652777890735449517e+01
6.343769051982206292e+05,5.652777890735449517e+01
6.343769051982206292e+05,8.669814540584145846e+01
6.349969046712275594e+05,8.669814540584145846e+01
6.349969046712275594e+05,1.165871830641703752e+02
6.356169041442344896e+05,1.165871830641703752e+02
6.356169041442346061e+05,1.712071186757426062e+02
6.362369036172415363e+05,1.712071186757426062e+02
6.362369036172415363e+05,2.166024334010561176e+02
6.368569030902484665e+05,2.166024334010561176e+02
6.368569030902484665e+05,2.555315904183141811e+02
6.374769025632553967e+05,2.555315904183141811e+02
6.374769025632553967e+05,3.138227633260460152e+02
6.380969020362623269e+05,3.138227633260460152e+02
6.380969020362623269e+05,3.787448700940823301e+02
6.387169015092692571e+05,3.787448700940823301e+02
6.387169015092692571e+05,4.503268591891984443e+02
6.393369009822761873e+05,4.503268591891984443e+02
6.393369009822763037e+05,5.558841178334528195e+02
6.399569004552832339e+05,5.558841178334528195e+02
6.399569004552832339e+05,6.142665091182427659e+02
6.405768999282901641e+05,6.142665091182427659e+02
6.405768999282901641e+05,7.340402362803836240e+02
6.411968994012970943e+05,7.340402362803836240e+02
6.411968994012970943e+05,8.396621171055116974e+02
6.418168988743040245e+05,8.396621171055116974e+02
6.418168988743040245e+05,9.167817301654155244e+02
6.424368983473109547e+05,9.167817301654155244e+02
6.424368983473110711e+05,1.045640402393920340e+03
6.430568978203180013e+05,1.045640402393920340e+03
6.430568978203180013e+05,1.186745248657954107e+03
6.436768972933249315e+05,1.186745248657954107e+03
6.436768972933249315e+05,1.347763969871673908e+03
6.442968967663318617e+05,1.347763969871673908e+03
6.442968967663318617e+05,1.548689644646242186e+03
6.449168962393387919e+05,1.548689644646242186e+03
6.449168962393387919e+05,1.718483232769813185e+03
6.455368957123457221e+05,1.718483232769813185e+03
6.455368957123458385e+05,1.954166206995765606e+03
6.461568951853527687e+05,1.954166206995765606e+03
6.461568951853527687e+05,2.122571495380582746e+03
6.467768946583596990e+05,2.122571495380582746e+03
6.467768946583596990e+05,2.406082159369035253e+03
6.473968941313666292e+05,2.406082159369035253e+03
6.473968941313666292e+05,2.601429783555477570e+03
6.480168936043735594e+05,2.601429783555477570e+03
6.480168936043735594e+05,2.963844261015910433e+03
6.486368930773804896e+05,2.963844261015910433e+03
6.486368930773806060e+05,3.154069132610842644e+03
6.492568925503875362e+05,3.154069132610842644e+03
6.492568925503875362e+05,3.518216929006184273e+03
6.498768920233944664e+05,3.518216929006184273e+03
6.498768920233944664e+05,3.867794487360933090e+03
6.504968914964013966e+05,3.867794487360933090e+03
6.504968914964013966e+05,4.207701010262718228e+03
6.511168909694083268e+05,4.207701010262718228e+03
6.511168909694083268e+05,4.572768589102175611e+03
6.517368904424152570e+05,4.572768589102175611e+03
6.517368904424152570e+05,4.913537751087856122e+03
6.523568899154221872e+05,4.913537751087856122e+03
6.523568899154223036e+05,5.431487874624467622e+03
6.529768893884292338e+05,5.431487874624467622e+03
6.529768893884292338e+05,5.747528108797977438e+03
6.535968888614361640e+05,5.747528108797977438e+03
6.535968888614361640e+05,6.340975006563990064e+03
6.542168883344430942e+05,6.340975006563990064e+03
6.542168883344430942e+05,6.668075936178328448e+03
6.548368878074500244e+05,6.668075936178328448e+03
6.548368878074500244e+05,7.274629337856783422e+03
6.554568872804569546e+05,7.274629337856783422e+03
6.554568872804570710e+05,7.770265662253427763e+03
6.560768867534640012e+05,7.770265662253427763e+03
6.560768867534640012e+05,8.316844607571965753e+03
6.566968862264709314e+05,8.316844607571965753e+03
6.566968862264709314e+05,8.623263547366301282e+03
6.573168856994778616e+05,8.623263547366301282e+03
6.573168856994778616e+05,9.130350361584005441e+03
6.579368851724847918e+05,9.130350361584005441e+03
6.579368851724847918e+05,9.352698395591880399e+03
6.585568846454917220e+05,9.352698395591880399e+03
6.585568846454918385e+05,9.530827215652991072e+03
6.591768841184987687e+05,9.530827215652991072e+03
6.591768841184987687e+05,9.617745478075292340e+03
6.597968835915056989e+05,9.617745478075292340e+03
6.597968835915056989e+05,9.814304253710633930e+03
6.604168830645126291e+05,9.814304253710633930e+03
6.604168830645126291e+05,9.989820683702950191e+03
6.610368825375195593e+05,9.989820683702950191e+03
6.610368825375195593e+05,1.007713234202305466e+04
6.616568820105264895e+05,1.007713234202305466e+04
6.616568820105266059e+05,9.967807191159961803e+03
6.622768814835335361e+05,9.967807191159961803e+03
6.622768814835335361e+05,9.572345983110348243e+03
6.628968809565404663e+05,9.572345983110348243e+03
6.628968809565404663e+05,9.573195447857131512e+03
6.635168804295473965e+05,9.573195447857131512e+03
6.635168804295473965e+05,9.312323248623259133e+03
6.641368799025543267e+05,9.312323248623259133e+03
6.641368799025543267e+05,9.264806807042843502e+03
6.647568793755612569e+05,9.264806807042843502e+03
6.647568793755613733e+05,8.793802627107826993e+03
6.653768788485683035e+05,8.793802627107826993e+03
6.653768788485683035e+05,8.502352352322992374e+03
6.659968783215752337e+05,8.502352352322992374e+03
6.659968783215752337e+05,8.237945654811428540e+03
6.666168777945821639e+05,8.237945654811428540e+03
6.666168777945821639e+05,7.950134247254311958e+03
6.672368772675890941e+05,7.950134247254311958e+03
6.672368772675890941e+05,7.565660469793258926e+03
6.678568767405960243e+05,7.565660469793258926e+03
6.678568767405960243e+05,7.218932663083915941e+03
6.684768762136029545e+05,7.218932663083915941e+03
6.684768762136030709e+05,6.797336982310937856e+03
6.690968756866100011e+05,6.797336982310937856e+03
6.690968756866100011e+05,6.478008673141641339e+03
6.697168751596169313e+05,6.478008673141641339e+03
6.697168751596169313e+05,6.016584261329795481e+03
6.703368746326238615e+05,6.016584261329795481e+03
6.703368746326238615e+05,5.643148379334632409e+03
6.709568741056307917e+05,5.643148379334632409e+03
6.709568741056307917e+05,5.197804912765985137e+03
6.715768735786377219e+05,5.197804912765985137e+03
6.715768735786378384e+05,4.608356760541074436e+03
6.721968730516447686e+05,4.608356760541074436e+03
6.721968730516447686e+05,4.161610693353726674e+03
6.728168725246516988e+05,4.161610693353726674e+03
6.728168725246516988e+05,3.748001045218737090e+03
6.734368719976586290e+05,3.748001045218737090e+03
6.734368719976586290e+05,3.204409721822708889e+03
6.740568714706655592e+05,3.204409721822708889e+03
6.740568714706655592e+05,2.798969141898177895e+03
6.746768709436724894e+05,2.798969141898177895e+03
6.746768709436724894e+05,2.337256429696993109e+03
6.752968704166794196e+05,2.337256429696993109e+03
6.752968704166795360e+05,1.898291890532290381e+03
6.759168698896864662e+05,1.898291890532290381e+03
6.759168698896864662e+05,1.569230663837078509e+03
6.765368693626933964e+05,1.569230663837078509e+03
6.765368693626933964e+05,1.259441565695686450e+03
6.771568688357003266e+05,1.259441565695686450e+03
6.771568688357003266e+05,9.570037934311064873e+02
6.777768683087072568e+05,9.570037934311064873e+02
6.777768683087073732e+05,7.203749348029829207e+02
6.783968677817143034e+05,7.203749348029829207e+02
6.783968677817143034e+05,4.960588883982417201e+02
6.790168672547212336e+05,4.960588883982417201e+02
6.790168672547212336e+05,3.468515501020589227e+02
6.796368667277281638e+05,3.468515501020589227e+02
6.796368667277281638e+05,2.204634187052302821e+02
6.802568662007350940e+05,2.204634187052302821e+02
6.802568662007350940e+05,1.316940655614875766e+02
6.808768656737420242e+05,1.316940655614875766e+02
6.808768656737420242e+05,8.034370780006688051e+01
6.814968651467489544e+05,8.034370780006688051e+01
6.814968651467490708e+05,4.303381889052810294e+01
6.821168646197560010e+05,4.303381889052810294e+01
6.821168646197560010e+05,2.141982239182297576e+01
6.827368640927629313e+05,2.141982239182297576e+01
6.827368640927629313e+05,1.088509543635284871e+01
6.833568635657698615e+05,1.088509543635284871e+01
6.833568635657698615e+05,4.827026167000171952e+00
6.839768630387767917e+05,4.827026167000171952e+00
6.839768630387767917e+05,2.086682496545660737e+00
6.845968625117837219e+05,2.086682496545660737e+00
6.845968625117838383e+05,9.938685678399730161e-01
6.852168619847907685e+05,9.938685678399730161e-01
6.852168619847907685e+05,3.836100159629736162e-01
6.858368614577976987e+05,3.836100159629736162e-01
6.858368614577976987e+05,1.873355515269301830e-01
6.864568609308046289e+05,1.873355515269301830e-01
6.864568609308046289e+05,8.015605728672500763e-02
6.870768604038115591e+05,8.015605728672500763e-02
6.870768604038115591e+05,4.949931054132686303e-02
6.876968598768184893e+05,4.949931054132686303e-02
6.876968598768184893e+05,3.786305084228708956e-02
6.883168593498254195e+05,3.786305084228708956e-02
6.883168593498255359e+05,3.321456541981204769e-02
6.889368588228324661e+05,3.321456541981204769e-02
6.889368588228324661e+05,3.204945246587940361e-02
6.895568582958393963e+05,3.204945246587940361e-02
6.895568582958393963e+05,3.208798077210844868e-02
6.901768577688463265e+05,3.208798077210844868e-02
6.901768577688463265e+05,3.186843240295980650e-02
6.907968572418532567e+05,3.186843240295980650e-02
6.907968572418533731e+05,3.189456445417979125e-02
6.914168567148603033e+05,3.189456445417979125e-02
6.914168567148603033e+05,3.199275761633980919e-02
6.920368561878672335e+05,3.199275761633980919e-02
6.920368561878672335e+05,3.200701146245980150e-02
6.926568556608741637e+05,3.200701146245980150e-02
