 Energy [eV],Number of Rays weighted by $\Vert\mathbf{E_{\sigma}}+\mathbf{E_{\pi}}\Vert^2$
5.916568841504105367e+05,2.502369535523002675e+00
5.930568839526709635e+05,2.502369535523002675e+00
5.930568839526709635e+05,2.538129914566565670e+00
5.944568837549313903e+05,2.538129914566565670e+00
5.944568837549313903e+05,2.630600251674575230e+00
5.958568835571918171e+05,2.630600251674575230e+00
5.958568835571917007e+05,2.801892129157418587e+00
5.972568833594521275e+05,2.801892129157418587e+00
5.972568833594521275e+05,3.180501359096296277e+00
5.986568831617125543e+05,3.180501359096296277e+00
5.986568831617125543e+05,3.657820404775553591e+00
6.000568829639729811e+05,3.657820404775553591e+00
6.000568829639729811e+05,4.610195402231919815e+00
6.014568827662334079e+05,4.610195402231919815e+00
6.014568827662332915e+05,6.244093925329677219e+00
6.028568825684937183e+05,6.244093925329677219e+00
6.028568825684937183e+05,9.218857215122872262e+00
6.042568823707541451e+05,9.218857215122872262e+00
6.042568823707541451e+05,1.412194432351437001e+01
6.056568821730145719e+05,1.412194432351437001e+01
6.056568821730145719e+05,1.979567773917660034e+01
6.070568819752749987e+05,1.979567773917660034e+01
6.070568819752749987e+05,3.012559827105493326e+01
6.084568817775354255e+05,3.012559827105493326e+01
6.084568817775353091e+05,4.464332093196966156e+01
6.098568815797957359e+05,4.464332093196966156e+01
6.098568815797957359e+05,6.446075784900766337e+01
6.112568813820561627e+05,6.446075784900766337e+01
6.112568813820561627e+05,8.779279266782910440e+01
6.126568811843165895e+05,8.779279266782910440e+01
6.126568811843165895e+05,1.317735223285567088e+02
6.140568809865770163e+05,1.317735223285567088e+02
6.140568809865768999e+05,1.837998664550089245e+02
6.154568807888373267e+05,1.837998664550089245e+02
6.154568807888373267e+05,2.493728942666216710e+02
6.168568805910977535e+05,2.493728942666216710e+02
6.168568805910977535e+05,3.477613724999635565e+02
6.182568803933581803e+05,3.477613724999635565e+02
6.182568803933581803e+05,4.473948792484314936e+02
6.196568801956186071e+05,4.473948792484314936e+02
6.196568801956186071e+05,5.951033483408372149e+02
6.210568799978790339e+05,5.951033483408372149e+02
6.210568799978789175e+05,7.447569710339058702e+02
6.224568798001393443e+05,7.447569710339058702e+02
6.224568798001393443e+05,9.479264634795882785e+02
6.238568796023997711e+05,9.479264634795882785e+02
6.238568796023997711e+05,1.208886951403034118e+03
6.252568794046601979e+05,1.208886951403034118e+03
6.252568794046601979e+05,1.504551709010815557e+03
6.266568792069206247e+05,1.504551709010815557e+03
6.266568792069205083e+05,1.858176158979044658e+03
6.280568790091809351e+05,1.858176158979044658e+03
6.280568790091809351e+05,2.276527224753490373e+03
6.294568788114413619e+05,2.276527224753490373e+03
6.294568788114413619e+05,2.758184370016866524e+03
6.308568786137017887e+05,2.758184370016866524e+03
6.308568786137017887e+05,3.288041800417988270e+03
6.322568784159622155e+05,3.288041800417988270e+03
6.322568784159622155e+05,3.876141919168754612e+03
6.336568782182226423e+05,3.876141919168754612e+03
6.336568782182225259e+05,4.526586872871100240e+03
6.350568780204829527e+05,4.526586872871100240e+03
6.350568780204829527e+05,5.341541303193602289e+03
6.364568778227433795e+05,5.341541303193602289e+03
6.364568778227433795e+05,6.117252879269473851e+03
6.378568776250038063e+05,6.117252879269473851e+03
6.378568776250038063e+05,6.871257787213731717e+03
6.392568774272642331e+05,6.871257787213731717e+03
6.392568774272641167e+05,7.700190252425606559e+03
6.406568772295245435e+05,7.700190252425606559e+03
6.406568772295245435e+05,8.530302924832825738e+03
6.420568770317849703e+05,8.530302924832825738e+03
6.420568770317849703e+05,9.470944782383343409e+03
6.434568768340453971e+05,9.470944782383343409e+03
6.434568768340453971e+05,1.028976117765157142e+04
6.448568766363058239e+05,1.028976117765157142e+04
6.448568766363058239e+05,1.115220823030158135e+04
6.462568764385662507e+05,1.115220823030158135e+04
6.462568764385661343e+05,1.186077567525647100e+04
6.476568762408265611e+05,1.186077567525647100e+04
6.476568762408265611e+05,1.279225651088191989e+04
6.490568760430869879e+05,1.279225651088191989e+04
6.490568760430869879e+05,1.341844116074273188e+04
6.504568758453474147e+05,1.341844116074273188e+04
6.504568758453474147e+05,1.414349732964382383e+04
6.518568756476078415e+05,1.414349732964382383e+04
6.518568756476077251e+05,1.466984208849858442e+04
6.532568754498681519e+05,1.466984208849858442e+04
6.532568754498681519e+05,1.512821037276733841e+04
6.546568752521285787e+05,1.512821037276733841e+04
6.546568752521285787e+05,1.543325858157877337e+04
6.560568750543890055e+05,1.543325858157877337e+04
6.560568750543890055e+05,1.556836513865718734e+04
6.574568748566494323e+05,1.556836513865718734e+04
6.574568748566494323e+05,1.580873997335633248e+04
6.588568746589098591e+05,1.580873997335633248e+04
6.588568746589097427e+05,1.583634265188643440e+04
6.602568744611701695e+05,1.583634265188643440e+04
6.602568744611701695e+05,1.572950148227201862e+04
6.616568742634305963e+05,1.572950148227201862e+04
6.616568742634305963e+05,1.558193193366506603e+04
6.630568740656910231e+05,1.558193193366506603e+04
6.630568740656910231e+05,1.524044012974785619e+04
6.644568738679514499e+05,1.524044012974785619e+04
6.644568738679513335e+05,1.489925983500513030e+04
6.658568736702117603e+05,1.489925983500513030e+04
6.658568736702117603e+05,1.443418317341187685e+04
6.672568734724721871e+05,1.443418317341187685e+04
6.672568734724721871e+05,1.388690543966508449e+04
6.686568732747326139e+05,1.388690543966508449e+04
6.686568732747326139e+05,1.329048374788422370e+04
6.700568730769930407e+05,1.329048374788422370e+04
6.700568730769930407e+05,1.268797328636242310e+04
6.714568728792534675e+05,1.268797328636242310e+04
6.714568728792533511e+05,1.202431902649748918e+04
6.728568726815137779e+05,1.202431902649748918e+04
6.728568726815137779e+05,1.125677618562260977e+04
6.742568724837742047e+05,1.125677618562260977e+04
6.742568724837742047e+05,1.050598762980422180e+04
6.756568722860346315e+05,1.050598762980422180e+04
6.756568722860346315e+05,9.680404857383355193e+03
6.770568720882950583e+05,9.680404857383355193e+03
6.770568720882949419e+05,8.929392052793455150e+03
6.784568718905553687e+05,8.929392052793455150e+03
6.784568718905553687e+05,8.029385157319343307e+03
6.798568716928157955e+05,8.029385157319343307e+03
6.798568716928157955e+05,7.273019174920765181e+03
6.812568714950762223e+05,7.273019174920765181e+03
6.812568714950762223e+05,6.511376649882414313e+03
6.826568712973366491e+05,6.511376649882414313e+03
6.826568712973366491e+05,5.862502337532253478e+03
6.840568710995970760e+05,5.862502337532253478e+03
6.840568710995969595e+05,5.143432659952582981e+03
6.854568709018573863e+05,5.143432659952582981e+03
6.854568709018573863e+05,4.521736535953221392e+03
6.868568707041178131e+05,4.521736535953221392e+03
6.868568707041178131e+05,3.830105288588992607e+03
6.882568705063782400e+05,3.830105288588992607e+03
6.882568705063782400e+05,3.325711253984420182e+03
