 Energy [eV],Number of Rays weighted by $\Vert\mathbf{E_{\sigma}}+\mathbf{E_{\pi}}\Vert^2$
1.282198960986975289e+05,1.173090650528992640e+00
1.283398960824805836e+05,1.173090650528992640e+00
1.283398960824805836e+05,1.177465201968991959e+00
1.284598960662636382e+05,1.177465201968991959e+00
1.284598960662636382e+05,1.175895831639893085e+00
1.285798960500466928e+05,1.175895831639893085e+00
1.285798960500466783e+05,1.173867133409592256e+00
1.286998960338297329e+05,1.173867133409592256e+00
1.286998960338297329e+05,1.173451551022790751e+00
1.288198960176127875e+05,1.173451551022790751e+00
1.288198960176127875e+05,1.175688040446492000e+00
1.289398960013958422e+05,1.175688040446492000e+00
1.289398960013958422e+05,1.175742722339492063e+00
1.290598959851788968e+05,1.175742722339492063e+00
1.290598959851788823e+05,1.175616268496564532e+00
1.291798959689619369e+05,1.175616268496564532e+00
1.291798959689619369e+05,1.176544201965831649e+00
1.292998959527449915e+05,1.176544201965831649e+00
1.292998959527449915e+05,1.178570535358542282e+00
1.294198959365280461e+05,1.178570535358542282e+00
1.294198959365280461e+05,1.197727072922506242e+00
1.295398959203111008e+05,1.197727072922506242e+00
1.295398959203110862e+05,1.249873808916129869e+00
1.296598959040941409e+05,1.249873808916129869e+00
1.296598959040941409e+05,1.378005950932901680e+00
1.297798958878771955e+05,1.378005950932901680e+00
1.297798958878771955e+05,1.715273850640014031e+00
1.298998958716602501e+05,1.715273850640014031e+00
1.298998958716602501e+05,2.396957814378208873e+00
1.300198958554433048e+05,2.396957814378208873e+00
1.300198958554432902e+05,4.089308386465831724e+00
1.301398958392263448e+05,4.089308386465831724e+00
1.301398958392263448e+05,7.540629645880990495e+00
1.302598958230093995e+05,7.540629645880990495e+00
1.302598958230093995e+05,1.423444773376874650e+01
1.303798958067924541e+05,1.423444773376874650e+01
1.303798958067924541e+05,2.749520953277727031e+01
1.304998957905755087e+05,2.749520953277727031e+01
1.304998957905754942e+05,4.980690345462740254e+01
1.306198957743585488e+05,4.980690345462740254e+01
1.306198957743585488e+05,9.136103241118493656e+01
1.307398957581416034e+05,9.136103241118493656e+01
1.307398957581416034e+05,1.588987735971397228e+02
1.308598957419246581e+05,1.588987735971397228e+02
1.308598957419246581e+05,2.732661818748397877e+02
1.309798957257077127e+05,2.732661818748397877e+02
1.309798957257076981e+05,4.491628721850653960e+02
1.310998957094907528e+05,4.491628721850653960e+02
1.310998957094907528e+05,7.035911272408078503e+02
1.312198956932738074e+05,7.035911272408078503e+02
1.312198956932738074e+05,1.085364690800318158e+03
1.313398956770568620e+05,1.085364690800318158e+03
1.313398956770568620e+05,1.658871019571375200e+03
1.314598956608399167e+05,1.658871019571375200e+03
1.314598956608399167e+05,2.460549580217328185e+03
1.315798956446229713e+05,2.460549580217328185e+03
1.315798956446229713e+05,3.505720359730905329e+03
1.316998956284060259e+05,3.505720359730905329e+03
1.316998956284060259e+05,4.878882089665237800e+03
1.318198956121890806e+05,4.878882089665237800e+03
1.318198956121890515e+05,6.661428693824710535e+03
1.319398955959721061e+05,6.661428693824710535e+03
1.319398955959721061e+05,8.887139823178009465e+03
1.320598955797551607e+05,8.887139823178009465e+03
1.320598955797551607e+05,1.155783996049786765e+04
1.321798955635382154e+05,1.155783996049786765e+04
1.321798955635382154e+05,1.478568773043442343e+04
1.322998955473212700e+05,1.478568773043442343e+04
1.322998955473212700e+05,1.841870282307025627e+04
1.324198955311043246e+05,1.841870282307025627e+04
1.324198955311043246e+05,2.273221610191148648e+04
1.325398955148873792e+05,2.273221610191148648e+04
1.325398955148873792e+05,2.698385859575418726e+04
1.326598954986704339e+05,2.698385859575418726e+04
1.326598954986704339e+05,3.169183409779393332e+04
1.327798954824534885e+05,3.169183409779393332e+04
1.327798954824534594e+05,3.629164088319890288e+04
1.328998954662365140e+05,3.629164088319890288e+04
1.328998954662365140e+05,4.122019111735665501e+04
1.330198954500195687e+05,4.122019111735665501e+04
1.330198954500195687e+05,4.611009026669475134e+04
1.331398954338026233e+05,4.611009026669475134e+04
1.331398954338026233e+05,5.110200881898900116e+04
1.332598954175856779e+05,5.110200881898900116e+04
1.332598954175856779e+05,5.533502149512293545e+04
1.333798954013687326e+05,5.533502149512293545e+04
1.333798954013687326e+05,5.949061784521664231e+04
1.334998953851517872e+05,5.949061784521664231e+04
1.334998953851517872e+05,6.325738838036145171e+04
1.336198953689348418e+05,6.325738838036145171e+04
1.336198953689348418e+05,6.621347624119008833e+04
1.337398953527178965e+05,6.621347624119008833e+04
1.337398953527178674e+05,6.914435839008309995e+04
1.338598953365009220e+05,6.914435839008309995e+04
1.338598953365009220e+05,7.106622219963069074e+04
1.339798953202839766e+05,7.106622219963069074e+04
1.339798953202839766e+05,7.168997258120580227e+04
1.340998953040670312e+05,7.168997258120580227e+04
1.340998953040670312e+05,7.163887079876459029e+04
1.342198952878500859e+05,7.163887079876459029e+04
1.342198952878500859e+05,7.109989253587526036e+04
1.343398952716331405e+05,7.109989253587526036e+04
1.343398952716331405e+05,6.971168219456225052e+04
1.344598952554161951e+05,6.971168219456225052e+04
1.344598952554161951e+05,6.751509312382369535e+04
1.345798952391992498e+05,6.751509312382369535e+04
1.345798952391992498e+05,6.429771989794803812e+04
1.346998952229823044e+05,6.429771989794803812e+04
1.346998952229822753e+05,6.084641003653103689e+04
1.348198952067653299e+05,6.084641003653103689e+04
1.348198952067653299e+05,5.697490365209660376e+04
1.349398951905483846e+05,5.697490365209660376e+04
1.349398951905483846e+05,5.293482879262037750e+04
1.350598951743314392e+05,5.293482879262037750e+04
1.350598951743314392e+05,4.847818036284764094e+04
1.351798951581144938e+05,4.847818036284764094e+04
1.351798951581144938e+05,4.341077703476894385e+04
1.352998951418975485e+05,4.341077703476894385e+04
1.352998951418975485e+05,3.887129493349761469e+04
1.354198951256806031e+05,3.887129493349761469e+04
1.354198951256806031e+05,3.396793885408144706e+04
1.355398951094636577e+05,3.396793885408144706e+04
1.355398951094636577e+05,2.973739121842735040e+04
1.356598950932467123e+05,2.973739121842735040e+04
1.356598950932467123e+05,2.527213514427304472e+04
1.357798950770297670e+05,2.527213514427304472e+04
1.357798950770297379e+05,2.137094664385830038e+04
1.358998950608127925e+05,2.137094664385830038e+04
1.358998950608127925e+05,1.750511709620021429e+04
1.360198950445958471e+05,1.750511709620021429e+04
1.360198950445958471e+05,1.395288397755254118e+04
1.361398950283789018e+05,1.395288397755254118e+04
1.361398950283789018e+05,1.100799301706634833e+04
1.362598950121619564e+05,1.100799301706634833e+04
1.362598950121619564e+05,8.390485449554902516e+03
1.363798949959450110e+05,8.390485449554902516e+03
1.363798949959450110e+05,6.299309155554703466e+03
1.364998949797280657e+05,6.299309155554703466e+03
1.364998949797280657e+05,4.544531395845667248e+03
1.366198949635111203e+05,4.544531395845667248e+03
1.366198949635111203e+05,3.206565067890846876e+03
1.367398949472941749e+05,3.206565067890846876e+03
1.367398949472941458e+05,2.141851676345154829e+03
1.368598949310772005e+05,2.141851676345154829e+03
1.368598949310772005e+05,1.414940997126553384e+03
1.369798949148602551e+05,1.414940997126553384e+03
1.369798949148602551e+05,8.898074959065610301e+02
1.370998948986433097e+05,8.898074959065610301e+02
1.370998948986433097e+05,5.432171815486027526e+02
1.372198948824263643e+05,5.432171815486027526e+02
1.372198948824263643e+05,3.216309801553335888e+02
1.373398948662094190e+05,3.216309801553335888e+02
1.373398948662094190e+05,1.833157308884523786e+02
1.374598948499924736e+05,1.833157308884523786e+02
1.374598948499924736e+05,1.038932221051500022e+02
1.375798948337755282e+05,1.038932221051500022e+02
1.375798948337755282e+05,5.532300254330956335e+01
1.376998948175585829e+05,5.532300254330956335e+01
1.376998948175585829e+05,2.945439067324928928e+01
1.378198948013416375e+05,2.945439067324928928e+01
1.378198948013416084e+05,1.521955459953121093e+01
1.379398947851246630e+05,1.521955459953121093e+01
1.379398947851246630e+05,8.052127441117653106e+00
1.380598947689077177e+05,8.052127441117653106e+00
1.380598947689077177e+05,4.297287543664757514e+00
1.381798947526907723e+05,4.297287543664757514e+00
1.381798947526907723e+05,2.492626762158069997e+00
1.382998947364738269e+05,2.492626762158069997e+00
1.382998947364738269e+05,1.683159637164492350e+00
1.384198947202568816e+05,1.683159637164492350e+00
1.384198947202568816e+05,1.317647952570390579e+00
1.385398947040399362e+05,1.317647952570390579e+00
1.385398947040399362e+05,1.162179198657630419e+00
1.386598946878229908e+05,1.162179198657630419e+00
1.386598946878229908e+05,1.117766926112860437e+00
1.387798946716060454e+05,1.117766926112860437e+00
1.387798946716060163e+05,1.108752290737396784e+00
1.388998946553890710e+05,1.108752290737396784e+00
1.388998946553890710e+05,1.104570665417991648e+00
1.390198946391721256e+05,1.104570665417991648e+00
1.390198946391721256e+05,1.104838810151993256e+00
1.391398946229551802e+05,1.104838810151993256e+00
1.391398946229551802e+05,1.104013749431992153e+00
1.392598946067382349e+05,1.104013749431992153e+00
1.392598946067382349e+05,1.107912161333993284e+00
1.393798945905212895e+05,1.107912161333993284e+00
1.393798945905212895e+05,1.106767389584992767e+00
1.394998945743043441e+05,1.106767389584992767e+00
1.394998945743043441e+05,1.106798329361992073e+00
1.396198945580873988e+05,1.106798329361992073e+00
1.396198945580873988e+05,1.109737608176993628e+00
1.397398945418704534e+05,1.109737608176993628e+00
1.397398945418704534e+05,1.107313992311992346e+00
1.398598945256535080e+05,1.107313992311992346e+00
1.398598945256534789e+05,1.104947099371491825e+00
1.399798945094365336e+05,1.104947099371491825e+00
1.399798945094365336e+05,1.109469463442991577e+00
1.400998944932195882e+05,1.109469463442991577e+00
1.400998944932195882e+05,1.104106568762992291e+00
1.402198944770026428e+05,1.104106568762992291e+00
