 Energy [eV],Number of Rays weighted by $\Vert\mathbf{E_{\sigma}}+\mathbf{E_{\pi}}\Vert^2$
1.031229986820382328e+05,1.836522862241165122e+00
1.031829986502606189e+05,1.836522862241165122e+00
1.031829986502606189e+05,6.901099807785286089e+00
1.032429986184830050e+05,6.901099807785286089e+00
1.032429986184830195e+05,1.605643573025769655e+01
1.033029985867054056e+05,1.605643573025769655e+01
1.033029985867054056e+05,2.991311271319800369e+01
1.033629985549277917e+05,2.991311271319800369e+01
1.033629985549278063e+05,5.784920376974593381e+01
1.034229985231501923e+05,5.784920376974593381e+01
1.034229985231501923e+05,8.740117007095044244e+01
1.034829984913725784e+05,8.740117007095044244e+01
1.034829984913725784e+05,1.385845369258388189e+02
1.035429984595949645e+05,1.385845369258388189e+02
1.035429984595949791e+05,1.948590756039272947e+02
1.036029984278173652e+05,1.948590756039272947e+02
1.036029984278173652e+05,2.774133570951527759e+02
1.036629983960397512e+05,2.774133570951527759e+02
1.036629983960397512e+05,3.872479770346661780e+02
1.037229983642621373e+05,3.872479770346661780e+02
1.037229983642621519e+05,5.069508101198038617e+02
1.037829983324845380e+05,5.069508101198038617e+02
1.037829983324845380e+05,6.339611876123008187e+02
1.038429983007069241e+05,6.339611876123008187e+02
1.038429983007069386e+05,7.808348787755226112e+02
1.039029982689293247e+05,7.808348787755226112e+02
1.039029982689293247e+05,9.324434447121267340e+02
1.039629982371517108e+05,9.324434447121267340e+02
1.039629982371517108e+05,1.084701645409957337e+03
1.040229982053740969e+05,1.084701645409957337e+03
1.040229982053741114e+05,1.344767322713994645e+03
1.040829981735964975e+05,1.344767322713994645e+03
1.040829981735964975e+05,1.623374694200037766e+03
1.041429981418188836e+05,1.623374694200037766e+03
1.041429981418188836e+05,1.839488114833053487e+03
1.042029981100412697e+05,1.839488114833053487e+03
1.042029981100412842e+05,2.073258276336503968e+03
1.042629980782636703e+05,2.073258276336503968e+03
1.042629980782636703e+05,2.436005651964636854e+03
1.043229980464860564e+05,2.436005651964636854e+03
1.043229980464860710e+05,2.797210695028347345e+03
1.043829980147084570e+05,2.797210695028347345e+03
1.043829980147084570e+05,3.148875860776083755e+03
1.044429979829308431e+05,3.148875860776083755e+03
1.044429979829308431e+05,3.608314096422696821e+03
1.045029979511532292e+05,3.608314096422696821e+03
1.045029979511532438e+05,4.041290670725028122e+03
1.045629979193756299e+05,4.041290670725028122e+03
1.045629979193756299e+05,4.578137962497630724e+03
1.046229978875980160e+05,4.578137962497630724e+03
1.046229978875980305e+05,5.159023389146975205e+03
1.046829978558204166e+05,5.159023389146975205e+03
1.046829978558204166e+05,5.819557176216490006e+03
1.047429978240428027e+05,5.819557176216490006e+03
1.047429978240428027e+05,6.535271107154408128e+03
1.048029977922651888e+05,6.535271107154408128e+03
1.048029977922652033e+05,7.197976616497610848e+03
1.048629977604875894e+05,7.197976616497610848e+03
1.048629977604875894e+05,8.110951723959724404e+03
1.049229977287099755e+05,8.110951723959724404e+03
1.049229977287099755e+05,9.104656838771723415e+03
1.049829976969323616e+05,9.104656838771723415e+03
1.049829976969323761e+05,9.965070140166410056e+03
1.050429976651547622e+05,9.965070140166410056e+03
1.050429976651547622e+05,1.116285365545974309e+04
1.051029976333771483e+05,1.116285365545974309e+04
1.051029976333771629e+05,1.209044877603797613e+04
1.051629976015995489e+05,1.209044877603797613e+04
1.051629976015995489e+05,1.337206789346101868e+04
1.052229975698219350e+05,1.337206789346101868e+04
1.052229975698219350e+05,1.498025607852580106e+04
1.052829975380443211e+05,1.498025607852580106e+04
1.052829975380443357e+05,1.597604002988317552e+04
1.053429975062667218e+05,1.597604002988317552e+04
1.053429975062667218e+05,1.734058581700127979e+04
1.054029974744891078e+05,1.734058581700127979e+04
1.054029974744891078e+05,1.855685119178805326e+04
1.054629974427114939e+05,1.855685119178805326e+04
1.054629974427115085e+05,1.973193741674373450e+04
1.055229974109338946e+05,1.973193741674373450e+04
1.055229974109338946e+05,2.062444817911171776e+04
1.055829973791562807e+05,2.062444817911171776e+04
1.055829973791562952e+05,2.184418659642376952e+04
1.056429973473786813e+05,2.184418659642376952e+04
1.056429973473786813e+05,2.245876112433732487e+04
1.057029973156010674e+05,2.245876112433732487e+04
1.057029973156010674e+05,2.338121665454160029e+04
1.057629972838234535e+05,2.338121665454160029e+04
1.057629972838234680e+05,2.383727660668442695e+04
1.058229972520458541e+05,2.383727660668442695e+04
1.058229972520458541e+05,2.444961977797115105e+04
