 Energy [eV],Number of Rays weighted by $\Vert\mathbf{E_{\sigma}}+\mathbf{E_{\pi}}\Vert^2$
3.900699947257119929e+05,5.531154656760010196e-02
3.905499943754068227e+05,5.531154656760010196e-02
3.905499943754068227e+05,5.564495112120013132e-02
3.910299940251016524e+05,5.564495112120013132e-02
3.910299940251017106e+05,5.516232114240009893e-02
3.915099936747965403e+05,5.516232114240009893e-02
3.915099936747965403e+05,5.580627590520010478e-02
3.919899933244913700e+05,5.580627590520010478e-02
3.919899933244913700e+05,5.574443473800012178e-02
3.924699929741861997e+05,5.574443473800012178e-02
3.924699929741862579e+05,5.569872604920011322e-02
3.929499926238810876e+05,5.569872604920011322e-02
3.929499926238810876e+05,5.559252056640011375e-02
3.934299922735759174e+05,5.559252056640011375e-02
3.934299922735759174e+05,5.605632932040011812e-02
3.939099919232707471e+05,5.605632932040011812e-02
3.939099919232708053e+05,5.553264736495850534e-02
3.943899915729656350e+05,5.553264736495850534e-02
3.943899915729656350e+05,5.537881691225531033e-02
3.948699912226604647e+05,5.537881691225531033e-02
3.948699912226604647e+05,5.697640332747515995e-02
3.953499908723552944e+05,5.697640332747515995e-02
3.953499908723553526e+05,8.756741796755722340e-02
3.958299905220501823e+05,8.756741796755722340e-02
3.958299905220501823e+05,2.095668652687468769e-01
3.963099901717450120e+05,2.095668652687468769e-01
3.963099901717450120e+05,9.035578276120551644e-01
3.967899898214398418e+05,9.035578276120551644e-01
3.967899898214398418e+05,5.264025209201839139e+00
3.972699894711346715e+05,5.264025209201839139e+00
3.972699894711347297e+05,1.659547612842694519e+01
3.977499891208295594e+05,1.659547612842694519e+01
3.977499891208295594e+05,4.130431953207413187e+01
3.982299887705243891e+05,4.130431953207413187e+01
3.982299887705243891e+05,8.886743736463519383e+01
3.987099884202192188e+05,8.886743736463519383e+01
3.987099884202192770e+05,1.266524029947668026e+02
3.991899880699141067e+05,1.266524029947668026e+02
3.991899880699141067e+05,2.116516757289765565e+02
3.996699877196089365e+05,2.116516757289765565e+02
3.996699877196089365e+05,3.160859927387498374e+02
4.001499873693037662e+05,3.160859927387498374e+02
4.001499873693038244e+05,4.597542784043926645e+02
4.006299870189986541e+05,4.597542784043926645e+02
4.006299870189986541e+05,5.425396343019609731e+02
4.011099866686934838e+05,5.425396343019609731e+02
4.011099866686934838e+05,7.439000561127851370e+02
4.015899863183883135e+05,7.439000561127851370e+02
4.015899863183883717e+05,9.124734235865423670e+02
4.020699859680832014e+05,9.124734235865423670e+02
4.020699859680832014e+05,1.069247797278057760e+03
4.025499856177780312e+05,1.069247797278057760e+03
4.025499856177780312e+05,1.249739127895597903e+03
4.030299852674728609e+05,1.249739127895597903e+03
4.030299852674729191e+05,1.450057221422479643e+03
4.035099849171677488e+05,1.450057221422479643e+03
4.035099849171677488e+05,1.722912759182951504e+03
4.039899845668625785e+05,1.722912759182951504e+03
4.039899845668625785e+05,1.994579696316058062e+03
4.044699842165574082e+05,1.994579696316058062e+03
4.044699842165574664e+05,2.397525478469786776e+03
4.049499838662522961e+05,2.397525478469786776e+03
4.049499838662522961e+05,2.615737061177966552e+03
4.054299835159471259e+05,2.615737061177966552e+03
4.054299835159471259e+05,3.086200038325985588e+03
4.059099831656419556e+05,3.086200038325985588e+03
4.059099831656420138e+05,3.405887015028177302e+03
4.063899828153368435e+05,3.405887015028177302e+03
4.063899828153368435e+05,3.900499474150695733e+03
4.068699824650316732e+05,3.900499474150695733e+03
4.068699824650316732e+05,4.348769328589306497e+03
4.073499821147265029e+05,4.348769328589306497e+03
4.073499821147265611e+05,4.691091255110167367e+03
4.078299817644213908e+05,4.691091255110167367e+03
4.078299817644213908e+05,5.127855601967700750e+03
4.083099814141162205e+05,5.127855601967700750e+03
4.083099814141162205e+05,5.557775620766270549e+03
4.087899810638110503e+05,5.557775620766270549e+03
4.087899810638111085e+05,5.997756473085434664e+03
4.092699807135059382e+05,5.997756473085434664e+03
4.092699807135059382e+05,6.297155300576576337e+03
4.097499803632007679e+05,6.297155300576576337e+03
4.097499803632007679e+05,6.757435670723161820e+03
4.102299800128955976e+05,6.757435670723161820e+03
4.102299800128955976e+05,7.201966059643619701e+03
4.107099796625904273e+05,7.201966059643619701e+03
4.107099796625904855e+05,7.851384163301147055e+03
4.111899793122853152e+05,7.851384163301147055e+03
4.111899793122853152e+05,8.521133380867035157e+03
4.116699789619801450e+05,8.521133380867035157e+03
4.116699789619801450e+05,9.181726155946666040e+03
4.121499786116749747e+05,9.181726155946666040e+03
4.121499786116750329e+05,9.691662127713010705e+03
4.126299782613698626e+05,9.691662127713010705e+03
4.126299782613698626e+05,1.022166704977961672e+04
4.131099779110646923e+05,1.022166704977961672e+04
4.131099779110646923e+05,1.036141972919938053e+04
4.135899775607595220e+05,1.036141972919938053e+04
4.135899775607595802e+05,1.044997818254772210e+04
4.140699772104544099e+05,1.044997818254772210e+04
4.140699772104544099e+05,1.021755518668802506e+04
4.145499768601492397e+05,1.021755518668802506e+04
4.145499768601492397e+05,9.689149533720612453e+03
4.150299765098440694e+05,9.689149533720612453e+03
4.150299765098441276e+05,9.168357866344475042e+03
4.155099761595389573e+05,9.168357866344475042e+03
4.155099761595389573e+05,8.451415341588977753e+03
4.159899758092337870e+05,8.451415341588977753e+03
4.159899758092337870e+05,7.538377887024831580e+03
4.164699754589286167e+05,7.538377887024831580e+03
4.164699754589286749e+05,6.459604295242802436e+03
4.169499751086235046e+05,6.459604295242802436e+03
4.169499751086235046e+05,5.529694309207335209e+03
4.174299747583183344e+05,5.529694309207335209e+03
4.174299747583183344e+05,4.348482116101370593e+03
4.179099744080131641e+05,4.348482116101370593e+03
4.179099744080132223e+05,3.377299131685416796e+03
4.183899740577080520e+05,3.377299131685416796e+03
4.183899740577080520e+05,2.406271792900521632e+03
4.188699737074028817e+05,2.406271792900521632e+03
4.188699737074028817e+05,1.596924674268330364e+03
4.193499733570977114e+05,1.596924674268330364e+03
4.193499733570977696e+05,9.631134112188392464e+02
4.198299730067925993e+05,9.631134112188392464e+02
4.198299730067925993e+05,5.018946880202626062e+02
4.203099726564874290e+05,5.018946880202626062e+02
4.203099726564874290e+05,2.077813429245003931e+02
4.207899723061822588e+05,2.077813429245003931e+02
4.207899723061822588e+05,6.183756064203394232e+01
4.212699719558770885e+05,6.183756064203394232e+01
4.212699719558771467e+05,1.724237360835393673e+01
4.217499716055719764e+05,1.724237360835393673e+01
4.217499716055719764e+05,3.526055640871502472e+00
4.222299712552668061e+05,3.526055640871502472e+00
4.222299712552668061e+05,6.016046592960494488e-01
4.227099709049616358e+05,6.016046592960494488e-01
4.227099709049616940e+05,1.351587159135100302e-01
4.231899705546565237e+05,1.351587159135100302e-01
4.231899705546565237e+05,5.856544893331872004e-02
4.236699702043513535e+05,5.856544893331872004e-02
4.236699702043513535e+05,5.228752824665480053e-02
4.241499698540461832e+05,5.228752824665480053e-02
4.241499698540462414e+05,5.153607232200042854e-02
4.246299695037410711e+05,5.153607232200042854e-02
4.246299695037410711e+05,5.167047853800043472e-02
4.251099691534359008e+05,5.167047853800043472e-02
4.251099691534359008e+05,5.168043455400044700e-02
4.255899688031307305e+05,5.168043455400044700e-02
4.255899688031307887e+05,5.149998176400046035e-02
4.260699684528256184e+05,5.149998176400046035e-02
4.260699684528256184e+05,5.172648112800044135e-02
4.265499681025204482e+05,5.172648112800044135e-02
4.265499681025204482e+05,5.140664411400044931e-02
4.270299677522152779e+05,5.140664411400044931e-02
4.270299677522153361e+05,5.142655614600043917e-02
4.275099674019101658e+05,5.142655614600043917e-02
4.275099674019101658e+05,5.154976184400043154e-02
4.279899670516049955e+05,5.154976184400043154e-02
4.279899670516049955e+05,5.144522367600045526e-02
4.284699667012998252e+05,5.144522367600045526e-02
4.284699667012998834e+05,5.175883818000046044e-02
4.289499663509947131e+05,5.175883818000046044e-02
4.289499663509947131e+05,5.158211889600043676e-02
4.294299660006895429e+05,5.158211889600043676e-02
4.294299660006895429e+05,5.152362730200045482e-02
4.299099656503843726e+05,5.152362730200045482e-02
4.299099656503844308e+05,5.175137116800044429e-02
4.303899653000792605e+05,5.175137116800044429e-02
4.303899653000792605e+05,5.157091837800043682e-02
4.308699649497740902e+05,5.157091837800043682e-02
4.308699649497740902e+05,5.173643714400046056e-02
4.313499645994689199e+05,5.173643714400046056e-02
4.313499645994689781e+05,5.087150825400044152e-02
4.318299642491638078e+05,5.087150825400044152e-02
4.318299642491638078e+05,5.112165315600044474e-02
4.323099638988586375e+05,5.112165315600044474e-02
4.323099638988586375e+05,5.163438798000044572e-02
4.327899635485534673e+05,5.163438798000044572e-02
4.327899635485535255e+05,5.151491578800044407e-02
4.332699631982483552e+05,5.151491578800044407e-02
4.332699631982483552e+05,5.191813443600044181e-02
4.337499628479431849e+05,5.191813443600044181e-02
4.337499628479431849e+05,5.168665706400044080e-02
