,5% Burnup,25% Burnup,50% Burnup,75% Burnup,95% Burnup
H-1,8.1741e-13,1.9879e-09,2.8383e-11,4.4054e-08,7.0685e-09
H-2,1.0320e-14,2.4516e-11,4.4429e-13,1.0271e-08,4.6314e-10
H-3,3.3891e-18,3.0025e-15,8.2221e-18,1.5592e-12,5.0688e-13
He-3,1.3252e-20,7.5964e-17,3.9488e-20,1.5515e-14,7.8177e-15
He-4,4.1905e-08,1.5714e-07,4.7538e-07,1.6524e-06,2.7147e-06
Li-6,1.1538e-26,1.0320e-21,5.3627e-26,1.5276e-18,7.6052e-19
Li-7,2.7093e-32,1.5242e-26,2.5053e-31,2.0778e-20,4.8865e-22
Be-9,3.9545e-21,2.4132e-16,1.6654e-20,1.3811e-13,3.2642e-14
Be-10,2.9739e-27,2.9765e-22,2.3475e-26,8.5806e-19,4.6594e-19
B-10,6.0881e-35,8.2796e-30,5.9949e-34,5.1247e-26,4.6124e-26
B-11,3.5192e-24,9.2819e-23,2.5849e-21,3.6152e-17,5.4453e-18
C-12,1.1690e-02,1.1690e-02,1.1690e-02,1.1690e-02,1.1690e-02
C-13,1.3126e-04,1.3136e-04,1.3146e-04,1.3200e-04,1.3226e-04
C-14,9.7308e-14,4.9461e-13,2.6454e-12,5.7312e-12,9.2808e-12
N-14,9.0427e-19,8.6154e-18,1.0331e-16,9.0506e-15,6.8429e-16
N-15,3.5762e-24,2.4127e-11,2.9746e-21,1.0222e-08,5.1145e-10
O-16,3.5463e-02,3.5463e-02,3.5463e-02,3.5463e-02,3.5462e-02
O-17,1.8481e-09,4.2173e-09,9.9267e-09,1.5092e-08,1.8599e-08
O-18,1.0313e-15,5.3575e-15,2.9544e-14,6.7477e-14,1.0346e-13
Ni-65,1.6832e-22,2.1336e-22,1.2466e-22,5.7975e-23,7.5398e-23
Ni-66,2.3418e-14,2.7710e-14,1.6025e-14,1.8010e-14,2.1510e-14
Cu-65,2.9502e-15,6.5228e-15,1.5010e-14,2.3243e-14,2.1345e-14
Cu-66,3.6656e-17,4.3375e-17,2.5084e-17,2.8191e-17,3.3669e-17
Cu-67,9.2478e-14,9.4620e-14,5.5924e-14,5.4411e-14,6.0931e-14
Zn-66,1.2913e-12,3.0541e-12,7.2146e-12,1.1217e-11,1.1678e-11
Zn-67,4.1053e-12,9.2801e-12,2.0709e-11,2.9989e-11,3.1152e-11
Zn-68,8.0479e-12,1.8745e-11,4.2507e-11,6.2437e-11,6.7427e-11
Zn-69,8.5588e-18,1.3024e-17,8.3341e-18,1.2651e-17,1.4430e-17
Zn-69m,1.1677e-16,1.7768e-16,1.1370e-16,1.7260e-16,1.9687e-16
Zn-70,3.9920e-11,1.0399e-10,2.5294e-10,3.7804e-10,4.4379e-10
Zn-71m,4.2854e-17,5.9599e-17,4.0847e-17,6.5156e-17,7.2559e-17
Zn-72,4.6258e-12,5.1154e-12,3.3619e-12,3.6498e-12,4.1877e-12
Ga-66,6.2570e-26,1.5834e-25,8.6164e-26,6.0613e-26,1.1028e-25
Ga-67,8.7233e-22,1.1465e-21,4.3553e-22,5.5352e-22,7.2654e-22
Ga-68,2.1209e-30,6.4556e-29,8.3309e-28,2.6896e-27,5.8043e-27
Ga-69,1.6982e-11,4.1610e-11,9.6657e-11,1.4144e-10,1.6097e-10
Ga-70,9.9554e-49,1.6450e-48,2.4508e-48,6.2786e-48,5.3712e-48
Ga-71,8.3246e-11,2.1339e-10,5.2069e-10,7.7475e-10,9.2377e-10
Ga-72,1.8162e-12,2.0209e-12,1.3428e-12,1.4355e-12,1.6614e-12
Ga-73,1.8509e-14,1.6500e-14,9.3267e-15,1.1758e-14,1.1398e-14
Ge-68,9.1510e-27,3.6717e-25,4.7970e-24,1.5492e-23,3.3437e-23
Ge-69,8.8889e-23,1.4951e-22,5.8907e-23,7.4083e-23,9.3523e-23
Ge-70,3.1098e-14,1.8218e-13,7.9967e-13,1.9967e-12,1.3614e-12
Ge-71,3.3679e-17,8.2281e-17,2.0920e-16,3.7256e-16,3.4610e-16
Ge-71m,2.5853e-31,4.2465e-31,1.6687e-31,2.3282e-31,3.2423e-31
Ge-72,2.4203e-10,6.2580e-10,1.4615e-09,2.1016e-09,2.4833e-09
Ge-73,8.1375e-10,1.9148e-09,4.0822e-09,5.5736e-09,6.3623e-09
Ge-73m,3.6953e-20,3.2942e-20,1.8621e-20,2.3475e-20,2.2757e-20
Ge-74,2.5605e-09,5.8849e-09,1.2365e-08,1.6638e-08,1.9367e-08
Ge-75,1.1417e-19,8.8024e-20,4.7908e-20,5.4580e-20,4.9171e-20
Ge-76,2.1611e-08,4.7089e-08,9.3410e-08,1.2155e-07,1.3772e-07
Ge-77,4.7798e-11,3.6265e-11,1.9694e-11,2.0145e-11,1.7827e-11
Ge-78,6.3693e-18,4.6444e-18,2.5383e-18,2.7720e-18,2.4517e-18
As-71,7.5407e-23,1.2386e-22,4.8673e-23,6.7908e-23,9.4571e-23
As-72,1.0229e-20,1.6365e-20,1.0339e-20,1.4956e-20,1.7796e-20
As-73,6.0222e-17,1.8902e-16,3.1940e-16,3.2189e-16,3.6911e-16
As-74,1.3824e-15,3.0226e-15,2.9331e-15,3.9418e-15,8.0913e-15
As-75,7.5483e-09,1.6695e-08,3.3675e-08,4.3905e-08,4.9426e-08
As-75m,5.9126e-27,3.7801e-26,9.4623e-26,5.2121e-24,6.2943e-25
As-76,1.9367e-13,5.1621e-13,7.6348e-13,7.4335e-12,1.2076e-12
As-77,9.0411e-10,7.5591e-10,4.5574e-10,3.8295e-10,3.6926e-10
As-78,1.5211e-16,1.1096e-16,6.0653e-17,6.6274e-17,5.8636e-17
Se-73,6.1827e-26,1.5726e-25,8.9297e-26,4.8892e-26,9.9951e-26
Se-73m,4.6120e-46,9.6374e-45,3.0667e-44,2.2128e-44,4.3080e-43
Se-74,7.1311e-16,4.0914e-15,1.1613e-14,2.4856e-13,2.9223e-14
Se-75,5.3617e-17,3.4279e-16,8.5807e-16,4.7265e-14,5.7078e-15
Se-76,3.8660e-11,1.8198e-10,4.8830e-10,1.0954e-09,1.9891e-09
Se-77,5.3541e-08,1.1668e-07,2.2642e-07,2.8791e-07,3.2121e-07
Se-77m,3.7351e-16,3.1228e-16,1.8827e-16,1.5820e-16,1.5255e-16
Se-78,1.4391e-07,3.1413e-07,6.2915e-07,8.2629e-07,9.4298e-07
Se-79,3.0426e-07,6.5585e-07,1.2669e-06,1.5918e-06,1.7971e-06
Se-80,8.6886e-07,1.8766e-06,3.6908e-06,4.8045e-06,5.4298e-06
Se-81,1.0382e-22,9.0967e-23,5.1166e-23,6.7188e-23,6.4338e-23
Se-81m,2.1861e-22,1.9154e-22,1.0774e-22,1.4148e-22,1.3547e-22
Se-82,2.1768e-06,4.6793e-06,9.1481e-06,1.1818e-05,1.3339e-05
Se-83,6.2075e-39,4.2574e-39,2.2770e-39,2.2927e-39,1.9146e-39
Br-75,2.6889e-32,6.5857e-32,3.4260e-32,1.7517e-32,4.2198e-32
Br-77,6.6873e-19,1.0731e-18,7.7273e-19,9.7733e-19,1.2296e-18
Br-79,1.6027e-10,3.4613e-10,6.7883e-10,8.5506e-10,9.3785e-10
Br-80,1.8815e-18,2.1024e-18,1.5095e-18,5.9922e-18,2.7917e-18
Br-80m,2.6344e-17,2.9438e-17,2.1136e-17,8.3902e-17,3.9089e-17
Br-81,1.3801e-06,2.9849e-06,5.8776e-06,7.5719e-06,8.2871e-06
Br-82,6.1461e-11,2.5889e-10,3.6539e-10,2.9259e-10,3.1667e-10
Br-83,2.2730e-13,1.5701e-13,8.4116e-14,8.5606e-14,7.1948e-14
Br-84,9.7000e-30,6.5974e-30,3.5178e-30,3.4968e-30,2.8922e-30
Kr-77,1.2812e-38,2.6895e-37,8.5756e-37,6.8993e-37,2.5975e-35
Kr-78,1.7246e-19,6.8703e-19,2.0095e-18,4.5817e-18,4.0070e-18
Kr-79,1.9006e-19,3.0249e-19,2.0294e-19,2.8288e-19,3.4371e-19
Kr-80,3.0509e-12,1.2220e-11,3.4343e-11,2.4122e-10,1.3758e-10
Kr-81,1.3454e-13,5.8788e-13,2.3339e-12,8.9861e-12,7.4490e-12
Kr-82,5.4758e-09,2.8790e-08,7.6222e-08,1.4722e-07,4.5075e-07
Kr-83,3.5047e-06,7.1061e-06,1.2600e-05,1.4385e-05,1.4516e-05
Kr-83m,6.9683e-13,4.8139e-13,2.5795e-13,2.6252e-13,2.2067e-13
Kr-84,6.5843e-06,1.4301e-05,2.8616e-05,3.8336e-05,4.4547e-05
Kr-85,2.4033e-06,5.0233e-06,9.3765e-06,1.1718e-05,1.2816e-05
Kr-85m,1.1098e-10,7.4957e-11,3.9713e-11,3.8947e-11,3.1596e-11
