,5% Burnup,25% Burnup,50% Burnup,75% Burnup,95% Burnup
hpge_Ba-137m_661.66_0.02fwhm,8.9467e+00,1.9714e+01,3.9827e+01,5.2741e+01,6.0283e+01
hpge_I-132_667.71_0.02fwhm,2.3551e+03,2.1418e+03,1.4797e+03,1.1925e+03,1.2716e+03
hpge_Nb-97_657.94_0.02fwhm,4.5226e+02,3.5813e+02,2.0683e+02,2.0932e+02,1.9718e+02
hpge_Ce-143_664.57_0.02fwhm,6.1950e+01,5.0450e+01,3.0873e+01,2.7179e+01,2.6175e+01
hpge_I-131_636.99_0.02fwhm,2.3927e+01,2.3301e+01,1.7599e+01,1.2404e+01,1.3922e+01
hpge_Ba-137m_661.66_0.005fwhm,5.7502e+00,1.2670e+01,2.5598e+01,3.3897e+01,3.8745e+01
hpge_I-132_667.71_0.005fwhm,1.2891e+03,1.1724e+03,8.0996e+02,6.5276e+02,6.9606e+02
hpge_Nb-97_657.94_0.005fwhm,2.6882e+02,2.1287e+02,1.2294e+02,1.2442e+02,1.1720e+02
hpge_Ce-143_664.57_0.005fwhm,3.8704e+01,3.1519e+01,1.9288e+01,1.6981e+01,1.6353e+01
hpge_I-131_636.99_0.005fwhm,1.0042e+00,9.7791e-01,7.3861e-01,5.2060e-01,5.8428e-01
current_Ce-144_133.5149,5.5348e+00,9.7148e+00,1.4034e+01,1.4964e+01,1.4141e+01
current_Pm-148m_414.07,2.1667e+01,2.8414e+01,2.2585e+01,2.5211e+01,2.6337e+01
current_Np-239_106.123,4.1497e+03,5.1370e+03,3.0378e+03,4.4124e+03,5.0683e+03
La140_scintillator,7.4188e+04,7.2688e+04,5.5296e+04,3.5433e+04,3.7873e+04
